tx_id,tx_date,description,amount,currency,is_debit,merchant
TX001,2025-11-01,UPI/office@okaxis/AWS CLOUD hosting invoice,14500,INR,True,AWS
TX002,2025-11-03,ACH DEBIT ZOOM PRO LICENSE monthly,4100,INR,True,Zoom
TX003,2025-11-03,ACH DEBIT ZOOM PRO LICENSE monthly team2,4100,INR,True,Zoom
TX004,2025-11-05,UPI/swiggy@axis/order dinner,780,INR,True,Swiggy
TX005,2025-11-08,CARD PAYMENT GOOGLE WORKSPACE BUSINESS STANDARD,12500,INR,True,Google
TX006,2025-11-11,CARD PAYMENT NETFLIX FAMILY PLAN,649,INR,True,Netflix
TX007,2025-11-14,NEFT DIGITAL AGENCY FEES WITHOUT GST INVOICE,32000,INR,True,Agency
TX008,2025-11-16,UPI MYNTRA shopping,3500,INR,True,Myntra
TX009,2025-11-17,ACH DEBIT SLACK TECHNOLOGIES MONTHLY SUBSCRIPTION,8900,INR,True,Slack
TX010,2025-11-20,ACH DEBIT CONFLUENCE SUBSCRIPTION MONTHLY,6700,INR,True,Atlassian
TX011,2025-11-22,NEFT CONSULTING RETAINER GSTIN ABC123,45000,INR,True,Consulting
TX012,2025-11-24,UPI PERSONAL GROCERY DMART,2900,INR,True,DMart
